,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
1,6,6,Normal,0.37399533,0.6631574,0.37399533,0.47826663
0,6,7,Attack,0.9993518,0.96497595,0.9993518,0.9818631
1,6,7,Normal,0.9637283,0.9993279,0.9637283,0.9812053
0,7,1,Attack,0.98444384,0.49788234,0.98444384,0.66130817
1,7,1,Normal,0.0071817474,0.31584948,0.0071817474,0.014044161
0,7,2,Attack,0.74843144,0.7508063,0.74843144,0.7496169
1,7,2,Normal,0.7515945,0.74922466,0.7515945,0.7504077
0,7,3,Attack,0.60980034,0.975367,0.60980034,0.7504307
1,7,3,Normal,0.9845994,0.716177,0.9845994,0.8292066
0,7,4,Attack,0.86450607,0.702541,0.86450607,0.7751534
1,7,4,Normal,0.63396424,0.82390994,0.63396424,0.71656317
0,7,5,Attack,0.6142079,0.55402243,0.6142079,0.5825649
1,7,5,Normal,0.5055743,0.56719023,0.5055743,0.5346127
0,7,6,Attack,0.85958,0.5874619,0.85958,0.69793487
1,7,6,Normal,0.39637023,0.738408,0.39637023,0.5158417
0,7,7,Attack,0.999637,0.5025351,0.999637,0.6688351
1,7,7,Normal,0.010448535,0.96642685,0.010448535,0.020673558
0,8,1,Attack,0.9971221,0.5020954,0.9971221,0.66788226
1,8,1,Normal,0.011200415,0.7955801,0.011200415,0.022089843
0,8,2,Attack,0.7499093,0.8210747,0.7499093,0.78388005
1,8,2,Normal,0.83658284,0.76985663,0.83658284,0.801834
0,8,3,Attack,0.59577394,0.97546375,0.59577394,0.7397428
1,8,3,Normal,0.98501426,0.70903087,0.98501426,0.8245418
0,8,4,Attack,0.8608504,0.6646582,0.8608504,0.75013834
1,8,4,Normal,0.5656728,0.80257493,0.5656728,0.6636149
0,8,5,Attack,0.6498315,0.450265,0.6498315,0.5319468
1,8,5,Normal,0.20661135,0.37108266,0.20661135,0.26543424
0,8,6,Attack,0.8222193,0.55397755,0.8222193,0.6619562
1,8,6,Normal,0.33800882,0.6553232,0.33800882,0.44598386
0,8,7,Attack,0.9993777,0.5049187,0.9993777,0.67088443
1,8,7,Normal,0.020093337,0.9699625,0.020093337,0.039371077
0,9,1,Attack,0.9962406,0.50045586,0.9962406,0.6662332
1,9,1,Normal,0.0055742804,0.5972222,0.0055742804,0.011045466
0,9,2,Attack,0.7679803,0.8233087,0.7679803,0.79468256
1,9,2,Normal,0.8351828,0.78259075,0.8351828,0.80803186
0,9,3,Attack,0.641846,0.9775321,0.641846,0.7748963
1,9,3,Normal,0.9852476,0.73339766,0.9852476,0.8408696
0,9,4,Attack,0.86378014,0.6607695,0.86378014,0.74875826
1,9,4,Normal,0.5565465,0.8033683,0.5565465,0.65755856
0,9,5,Attack,0.6427275,0.5585598,0.6427275,0.59769505
1,9,5,Normal,0.49204046,0.5793394,0.49204046,0.5321332
0,9,6,Attack,0.81750065,0.55595523,0.81750065,0.66182506
1,9,6,Normal,0.3470573,0.65537333,0.3470573,0.45380118
0,9,7,Attack,0.9993,0.50525665,0.9993,0.6711651
1,9,7,Normal,0.021493388,0.96845794,0.021493388,0.04205347
0,10,1,Attack,0.98986256,0.49888277,0.98986256,0.6634115
1,10,1,Normal,0.005703915,0.36006546,0.005703915,0.011229933
0,10,2,Attack,0.59533316,0.612516,0.59533316,0.6038024
1,10,2,Normal,0.623386,0.60637546,0.623386,0.6147631
0,10,3,Attack,0.664532,0.9788055,0.664532,0.79161775
1,10,3,Normal,0.9856106,0.7460651,0.9856106,0.84926945
0,10,4,Attack,0.85278714,0.7088946,0.85278714,0.77421176
1,10,4,Normal,0.64980555,0.8152955,0.64980555,0.72320414
0,10,5,Attack,0.61693025,0.55546474,0.61693025,0.58458626
1,10,5,Normal,0.5062743,0.5692671,0.5062743,0.535926
0,10,6,Attack,0.8444646,0.5614722,0.8444646,0.67448753
1,10,6,Normal,0.34044594,0.68640876,0.34044594,0.4551473
0,10,7,Attack,0.9988592,0.503417,0.9988592,0.6694411
1,10,7,Normal,0.014700544,0.9279869,0.014700544,0.0289426
