,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,5,6,Attack,0.96864,0.9994222,0.96864,0.9837904
1,5,6,Normal,0.99944,0.969577,0.99944,0.9842821
0,5,7,Attack,0.94128,1.0,0.94128,0.9697519
1,5,7,Normal,1.0,0.9445368,1.0,0.97147745
0,5,8,Attack,0.94288,1.0,0.94288,0.97060037
1,5,8,Normal,1.0,0.9459664,1.0,0.972233
0,5,9,Attack,0.94712,1.0,0.94712,0.972842
1,5,9,Normal,1.0,0.9497759,1.0,0.974241
0,5,10,Attack,0.76856,1.0,0.76856,0.8691365
1,5,10,Normal,1.0,0.81205744,1.0,0.8962822
0,6,1,Attack,0.88152,1.0,0.88152,0.9370296
1,6,1,Normal,1.0,0.8940705,1.0,0.9440731
0,6,2,Attack,0.78632,1.0,0.78632,0.88037974
1,6,2,Normal,1.0,0.8239404,1.0,0.90347296
0,6,3,Attack,0.7608,0.9997897,0.7608,0.8640742
1,6,3,Normal,0.99984,0.8069473,0.99984,0.89309704
0,6,4,Attack,0.9156,0.9998253,0.9156,0.95586085
1,6,4,Normal,0.99984,0.92215747,0.99984,0.95942885
0,6,5,Attack,0.70232,1.0,0.70232,0.8251327
1,6,5,Normal,1.0,0.770606,1.0,0.87044317
0,6,6,Attack,0.88544,0.9922898,0.88544,0.9358248
1,6,6,Normal,0.99312,0.89657664,0.99312,0.9423822
0,6,7,Attack,0.95536,1.0,0.95536,0.97717047
1,6,7,Normal,1.0,0.9572676,1.0,0.97816736
0,6,8,Attack,0.95936,1.0,0.95936,0.97925854
1,6,8,Normal,1.0,0.9609471,1.0,0.9800847
0,6,9,Attack,0.93792,1.0,0.93792,0.96796566
1,6,9,Normal,1.0,0.94154865,1.0,0.96989447
0,6,10,Attack,0.8164,1.0,0.8164,0.8989209
1,6,10,Normal,1.0,0.84488004,1.0,0.91591865
0,7,1,Attack,0.944,1.0,0.944,0.97119343
1,7,1,Normal,1.0,0.9469697,1.0,0.9727626
0,7,2,Attack,0.83496,1.0,0.83496,0.91005796
1,7,2,Normal,1.0,0.8583396,1.0,0.9237705
0,7,3,Attack,0.94816,1.0,0.94816,0.9733903
1,7,3,Normal,1.0,0.95071495,1.0,0.9747349
0,7,4,Attack,0.93784,1.0,0.93784,0.96792305
1,7,4,Normal,1.0,0.9414777,1.0,0.9698568
0,7,5,Attack,0.88984,1.0,0.88984,0.94170934
1,7,5,Normal,1.0,0.9007711,1.0,0.9477954
0,7,6,Attack,0.70232,0.9998861,0.70232,0.8250939
1,7,6,Normal,0.99992,0.77059186,0.99992,0.8704039
0,7,7,Attack,0.93984,1.0,0.93984,0.9689871
1,7,7,Normal,1.0,0.9432539,1.0,0.9707984
0,7,8,Attack,0.96216,0.9897951,0.96216,0.9757819
1,7,8,Normal,0.99008,0.9631878,0.99008,0.97644883
0,7,9,Attack,0.9,1.0,0.9,0.9473684
1,7,9,Normal,1.0,0.90909094,1.0,0.95238096
0,7,10,Attack,0.80096,1.0,0.80096,0.8894811
1,7,10,Normal,1.0,0.8340005,1.0,0.9094877
0,8,1,Attack,0.94328,0.9998304,0.94328,0.9707323
1,8,1,Normal,0.99984,0.94631636,0.99984,0.9723422
0,8,2,Attack,0.96024,1.0,0.96024,0.9797168
1,8,2,Normal,1.0,0.9617604,1.0,0.9805075
0,8,3,Attack,0.94544,0.99991536,0.94544,0.9719149
1,8,3,Normal,0.99992,0.9482589,0.99992,0.97340447
0,8,4,Attack,0.84808,1.0,0.84808,0.9177958
1,8,4,Normal,1.0,0.86811584,1.0,0.92940253
0,8,5,Attack,0.94376,0.99949163,0.94376,0.9708266
1,8,5,Normal,0.99952,0.9467303,0.99952,0.97240925
0,8,6,Attack,0.92872,0.9999139,0.92872,0.96300286
1,8,6,Normal,0.99992,0.9334578,0.99992,0.96554655
0,8,7,Attack,0.93144,0.9997424,0.93144,0.9643833
1,8,7,Normal,0.99976,0.93582445,0.99976,0.96673626
0,8,8,Attack,0.95064,0.97826624,0.95064,0.96425533
1,8,8,Normal,0.97888,0.9519957,0.97888,0.9652507
0,8,9,Attack,0.95488,1.0,0.95488,0.9769193
1,8,9,Normal,1.0,0.95682794,1.0,0.97793776
0,8,10,Attack,0.94912,0.9999157,0.94912,0.973856
1,8,10,Normal,0.99992,0.95157975,0.99992,0.9751512
0,9,1,Attack,0.90744,1.0,0.90744,0.95147425
1,9,1,Normal,1.0,0.91528153,1.0,0.9557671
0,9,2,Attack,0.78728,1.0,0.78728,0.88098115
1,9,2,Normal,1.0,0.82459265,1.0,0.903865
0,9,3,Attack,0.7072,0.43004477,0.7072,0.53485
1,9,3,Normal,0.06272,0.17641765,0.06272,0.09254013
0,9,4,Attack,0.95544,1.0,0.95544,0.97721225
1,9,4,Normal,1.0,0.9573409,1.0,0.97820556
0,9,5,Attack,0.9468,0.9946214,0.9468,0.97012174
1,9,5,Normal,0.99488,0.9492405,0.99488,0.97152454
0,9,6,Attack,0.85768,0.9999067,0.85768,0.92334855
1,9,6,Normal,0.99992,0.8754027,0.99992,0.93352747
0,9,7,Attack,0.79328,1.0,0.79328,0.8847252
1,9,7,Normal,1.0,0.8286927,1.0,0.90632254
0,9,8,Attack,0.72528,1.0,0.72528,0.84076786
1,9,8,Normal,1.0,0.784486,1.0,0.87922907
0,9,9,Attack,0.84768,0.45965642,0.84768,0.59608465
1,9,9,Normal,0.00352,0.02258727,0.00352,0.006090808
0,9,10,Attack,0.93736,1.0,0.93736,0.9676673
1,9,10,Normal,1.0,0.9410525,1.0,0.9696312
0,10,1,Attack,0.9784,1.0,0.9784,0.9890821
1,10,1,Normal,1.0,0.9788567,1.0,0.9893154
0,10,2,Attack,0.87616,1.0,0.87616,0.93399286
1,10,2,Normal,1.0,0.8898064,1.0,0.9416905
0,10,3,Attack,0.9644,1.0,0.9644,0.9818774
1,10,3,Normal,1.0,0.9656238,1.0,0.9825113
0,10,4,Attack,0.95592,1.0,0.95592,0.9774633
1,10,4,Normal,1.0,0.957781,1.0,0.9784353
0,10,5,Attack,0.97568,1.0,0.97568,0.9876903
1,10,5,Normal,1.0,0.97625744,1.0,0.9879861
0,10,6,Attack,0.94248,0.99940616,0.94248,0.9701087
1,10,6,Normal,0.99944,0.94557977,0.99944,0.97176415
0,10,7,Attack,0.94344,0.98595434,0.94344,0.96422875
1,10,7,Normal,0.98656,0.9457781,0.98656,0.9657387
0,10,8,Attack,0.916,1.0,0.916,0.9561587
1,10,8,Normal,1.0,0.92250925,1.0,0.95969296
0,10,9,Attack,0.92376,0.9999134,0.92376,0.96032935
1,10,9,Normal,0.99992,0.9291555,0.99992,0.96323985
0,10,10,Attack,0.94792,1.0,0.94792,0.9732638
1,10,10,Normal,1.0,0.95049804,1.0,0.9746208
