,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,6,7,Attack,0.99912167,0.9825925,0.99912167,0.99078816
1,6,7,Normal,0.9822997,0.9991066,0.9822997,0.9906319
0,7,1,Attack,0.9582646,0.7925068,0.9582646,0.867539
1,7,1,Normal,0.7491083,0.9472267,0.7491083,0.83659816
0,7,2,Attack,0.92142665,0.86888206,0.92142665,0.89438325
1,7,2,Normal,0.8609529,0.9163692,0.8609529,0.8877972
0,7,3,Attack,0.86294913,0.9844234,0.86294913,0.9196925
1,7,3,Normal,0.98634547,0.8780031,0.98634547,0.92902625
0,7,4,Attack,0.85751927,0.8870808,0.85751927,0.87204957
1,7,4,Normal,0.89084375,0.86211425,0.89084375,0.87624353
0,7,5,Attack,0.91655576,0.98405397,0.91655576,0.94910634
1,7,5,Normal,0.9851477,0.92191195,0.9851477,0.95248145
0,7,6,Attack,0.84458345,0.81155527,0.84458345,0.8277401
1,7,6,Normal,0.80388606,0.83799005,0.80388606,0.8205839
0,7,7,Attack,0.9986425,0.983022,0.9986425,0.9907707
1,7,7,Normal,0.9827522,0.9986206,0.9827522,0.9906229
0,8,1,Attack,0.9762044,0.7808555,0.9762044,0.8676706
1,8,1,Normal,0.7260314,0.96826524,0.7260314,0.82983226
0,8,2,Attack,0.9322598,0.9110891,0.9322598,0.9215529
1,8,2,Normal,0.90902317,0.93064827,0.90902317,0.9197086
0,8,3,Attack,0.9042853,0.9850963,0.9042853,0.9429626
1,8,3,Normal,0.9863189,0.9115419,0.9863189,0.94745725
0,8,4,Attack,0.86404043,0.8234906,0.86404043,0.84327835
1,8,4,Normal,0.8147991,0.85699886,0.8147991,0.83536637
0,8,5,Attack,0.8970987,0.96272385,0.8970987,0.9287535
1,8,5,Normal,0.96526486,0.9036655,0.96526486,0.93345004
0,8,6,Attack,0.84910834,0.8169898,0.84910834,0.8327395
1,8,6,Normal,0.809795,0.84293354,0.809795,0.82603204
0,8,7,Attack,0.9983497,0.9844103,0.9983497,0.99133104
1,8,7,Normal,0.9841895,0.99832606,0.9841895,0.99120736
0,9,1,Attack,0.9729838,0.6886645,0.9729838,0.80649966
1,9,1,Normal,0.56012774,0.95398706,0.56012774,0.70583105
0,9,2,Attack,0.897152,0.9271862,0.897152,0.91192186
1,9,2,Normal,0.92954487,0.900379,0.92954487,0.9147295
0,9,3,Attack,0.8536598,0.98416597,0.8536598,0.91427916
1,9,3,Normal,0.98626566,0.8707934,0.98626566,0.9249395
0,9,4,Attack,0.8684323,0.86100703,0.8684323,0.8647038
1,9,4,Normal,0.8598084,0.86728776,0.8598084,0.86353195
0,9,5,Attack,0.9236891,0.9576676,0.9236891,0.9403716
1,9,5,Normal,0.95916957,0.92630386,0.95916957,0.9424502
0,9,6,Attack,0.8475645,0.8263611,0.8475645,0.8368286
1,9,6,Normal,0.8219058,0.84355026,0.8219058,0.83258736
0,9,7,Attack,0.99941444,0.98151875,0.99941444,0.9903858
