,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
8,2,4,Infection,0.696093,0.84017277,0.696093,0.76137656
0,2,5,Botnet,0.0,0.0,0.0,0.0
1,2,5,DoS,0.0,0.0,0.0,0.0
2,2,5,MITM,0.94543827,0.6577473,0.94543827,0.7757798
3,2,5,Normal,0.36832687,0.53118277,0.36832687,0.4350123
4,2,5,Scanner,0.95915323,0.35887995,0.95915323,0.52232504
5,2,5,Brute force,0.8264241,0.66964716,0.8264241,0.7398211
6,2,5,Generic,0.9504921,0.9940736,0.9504921,0.9717944
7,2,5,Exploit,0.4299344,0.4544595,0.4299344,0.44185686
8,2,5,Infection,0.78765285,0.7433155,0.78765285,0.76484215
0,3,1,Botnet,0.81305903,0.7822719,0.81305903,0.7973684
1,3,1,DoS,0.7199523,0.79986745,0.7199523,0.7578088
2,3,1,MITM,0.83363146,0.8048359,0.83363146,0.8189807
3,3,1,Normal,0.2260662,0.34995383,0.2260662,0.27468744
4,3,1,Scanner,0.8663883,0.95090014,0.8663883,0.9066792
5,3,1,Brute force,0.7555158,0.7582286,0.7555158,0.7568698
6,3,1,Generic,0.94959736,0.9754902,0.94959736,0.9623697
7,3,1,Exploit,0.43589744,0.30922166,0.43589744,0.36179164
8,3,1,Infection,0.712198,0.65460527,0.712198,0.6821883
0,3,2,Botnet,0.0,0.0,0.0,0.0
1,3,2,DoS,0.70414555,0.45632005,0.70414555,0.55377036
2,3,2,MITM,0.8204593,0.7520503,0.8204593,0.7847668
3,3,2,Normal,0.23345259,0.64338535,0.23345259,0.3425946
4,3,2,Scanner,0.95705336,0.9044532,0.95705336,0.93001014
5,3,2,Brute force,0.7340489,0.7375674,0.7340489,0.735804
6,3,2,Generic,0.96719354,0.9960074,0.96719354,0.98138905
7,3,2,Exploit,0.65105873,0.4235545,0.65105873,0.5132244
8,3,2,Infection,0.8810376,0.65145504,0.8810376,0.7490494
0,3,3,Botnet,0.87831795,0.98991597,0.87831795,0.9307838
1,3,3,DoS,0.8225999,0.8917259,0.8225999,0.8557692
2,3,3,MITM,0.9343871,0.70946556,0.9343871,0.80653876
3,3,3,Normal,0.15802027,0.31360948,0.15802027,0.21015067
4,3,3,Scanner,0.9534745,0.98429805,0.9534745,0.96864116
5,3,3,Brute force,0.72293466,0.6608506,0.72293466,0.6904999
6,3,3,Generic,0.9284437,0.97801507,0.9284437,0.95258486
7,3,3,Exploit,0.18848792,0.27586207,0.18848792,0.22395463
8,3,3,Infection,0.88044125,0.52591276,0.88044125,0.6584904
0,3,4,Botnet,0.0,0.0,0.0,0.0
1,3,4,DoS,0.0047704233,0.07804878,0.0047704233,0.00899129
2,3,4,MITM,0.82105577,0.8673598,0.82105577,0.8435729
3,3,4,Normal,0.39129138,0.4465623,0.39129138,0.4171038
4,3,4,Scanner,0.96660703,0.36211327,0.96660703,0.52685463
5,3,4,Brute force,0.75514466,0.65851754,0.75514466,0.70352876
6,3,4,Generic,0.9400716,0.9977848,0.9400716,0.9680687
7,3,4,Exploit,0.5252013,0.38780004,0.5252013,0.44616166
8,3,4,Infection,0.78407395,0.7815101,0.78407395,0.78278995
0,3,5,Botnet,0.8481957,0.9800138,0.8481957,0.90935254
1,3,5,DoS,0.8055473,0.91004044,0.8055473,0.85461164
2,3,5,MITM,0.88878953,0.70406234,0.88878953,0.78571427
3,3,5,Normal,0.54399043,0.4743823,0.54399043,0.50680745
4,3,5,Scanner,0.95527726,0.99133664,0.95527726,0.9729729
5,3,5,Brute force,0.8780197,0.6337998,0.8780197,0.73618406
6,3,5,Generic,0.95317626,0.99316347,0.95317626,0.9727591
7,3,5,Exploit,0.31067383,0.40798748,0.31067383,0.35274205
8,3,5,Infection,0.660006,0.85708755,0.660006,0.74574554
0,4,1,Botnet,0.88282645,0.9959637,0.88282645,0.9359886
1,4,1,DoS,0.8073367,0.95350474,0.8073367,0.874354
2,4,1,MITM,0.9570662,0.6686107,0.9570662,0.78724706
3,4,1,Normal,0.31136295,0.569869,0.31136295,0.4027001
4,4,1,Scanner,0.9579481,0.9883077,0.9579481,0.9728911
5,4,1,Brute force,0.911449,0.70082533,0.911449,0.7923795
6,4,1,Generic,0.9609305,0.97873634,0.9609305,0.9697517
7,4,1,Exploit,0.33392963,0.4692082,0.33392963,0.3901759
8,4,1,Infection,0.80405605,0.60652417,0.80405605,0.69145936
0,4,2,Botnet,0.17143708,0.30864197,0.17143708,0.22043319
1,4,2,DoS,0.8124068,0.48564807,0.8124068,0.6079
2,4,2,MITM,0.8884581,0.7558995,0.8884581,0.81683576
3,4,2,Normal,0.26684555,0.6258741,0.26684555,0.3741639
4,4,2,Scanner,0.55234116,0.9956989,0.55234116,0.7105313
5,4,2,Brute force,0.8020274,0.49123448,0.8020274,0.6092865
6,4,2,Generic,0.9674918,0.9715484,0.9674918,0.9695158
7,4,2,Exploit,0.36325678,0.4709977,0.36325678,0.41017005
8,4,2,Infection,0.7236136,0.59529066,0.7236136,0.65320957
0,4,3,Botnet,0.6883388,0.3029269,0.6883388,0.42070726
1,4,3,DoS,0.18455575,0.45750186,0.18455575,0.26301253
2,4,3,MITM,0.9012824,0.73331714,0.9012824,0.80867004
3,4,3,Normal,0.6428146,0.3605954,0.6428146,0.4620165
4,4,3,Scanner,0.0026841634,0.45,0.0026841634,0.005336495
5,4,3,Brute force,0.8428273,0.6958877,0.8428273,0.7623415
6,4,3,Generic,0.9367919,0.9911672,0.9367919,0.9632128
7,4,3,Exploit,0.11512079,0.3910841,0.11512079,0.17788018
8,4,3,Infection,0.72927845,0.85196793,0.72927845,0.78586346
0,4,4,Botnet,0.8565464,0.9082859,0.8565464,0.8816578
1,4,4,DoS,0.708706,0.9473894,0.708706,0.81084764
2,4,4,MITM,0.87473905,0.7692106,0.87473905,0.8185878
3,4,4,Normal,0.71011037,0.41151056,0.71011037,0.5210636
4,4,4,Scanner,0.9570662,0.9834559,0.9570662,0.9700816
5,4,4,Brute force,0.8478974,0.5561424,0.8478974,0.671707
6,4,4,Generic,0.9594514,0.96694714,0.9594514,0.9631847
7,4,4,Exploit,0.0,0.0,0.0,0.0
8,4,4,Infection,0.7584253,0.79320025,0.7584253,0.7754231
0,4,5,Botnet,0.88487923,0.98147535,0.88487923,0.9306776
1,4,5,DoS,0.8183716,0.95543176,0.8183716,0.8816064
2,4,5,MITM,0.8604651,0.8196535,0.8604651,0.8395636
3,4,5,Normal,0.55353415,0.5144124,0.55353415,0.5332567
4,4,5,Scanner,0.94454384,0.9844624,0.94454384,0.96409005
5,4,5,Brute force,0.75663584,0.6579357,0.75663584,0.7038424
6,4,5,Generic,0.95824635,0.98983365,0.95824635,0.9737839
7,4,5,Exploit,0.2844365,0.35932204,0.2844365,0.31752372
8,4,5,Infection,0.81479275,0.6534322,0.81479275,0.72524554
0,5,1,Botnet,0.86255217,0.82515687,0.86255217,0.8434402
1,5,1,DoS,0.78884584,0.99026585,0.78884584,0.8781541
2,5,1,MITM,0.7063208,0.72181594,0.7063208,0.7139843
3,5,1,Normal,0.48285118,0.32418904,0.48285118,0.3879238
4,5,1,Scanner,0.8159857,0.9945474,0.8159857,0.8964613
5,5,1,Brute force,0.7304711,0.50536305,0.7304711,0.59741527
6,5,1,Generic,0.94929916,0.99066293,0.94929916,0.96954
7,5,1,Exploit,0.21258199,0.37784845,0.21258199,0.2720855
8,5,1,Infection,0.6137787,0.67943215,0.6137787,0.6449389
0,5,2,Botnet,0.0,0.0,0.0,0.0
1,5,2,DoS,0.23292574,0.48996237,0.23292574,0.31574693
2,5,2,MITM,0.88726515,0.69057566,0.88726515,0.776661
3,5,2,Normal,0.22271915,0.680948,0.22271915,0.3356549
4,5,2,Scanner,0.86579186,0.3887773,0.86579186,0.5365989
5,5,2,Brute force,0.85360765,0.62023395,0.85360765,0.71844417
6,5,2,Generic,0.9752461,0.99181074,0.9752461,0.9834587
7,5,2,Exploit,0.5147629,0.3768559,0.5147629,0.43514434
8,5,2,Infection,0.7316637,0.7618752,0.7316637,0.74646395
0,5,3,Botnet,0.8565464,0.9068519,0.8565464,0.88098156
1,5,3,DoS,0.7158617,0.8992509,0.7158617,0.79714483
2,5,3,MITM,0.96570235,0.6382811,0.96570235,0.7685735
3,5,3,Normal,0.4236732,0.3812718,0.4236732,0.40135574
4,5,3,Scanner,0.9555622,0.9807162,0.9555622,0.96797585
5,5,3,Brute force,0.7032508,0.55157894,0.7032508,0.6182486
6,5,3,Generic,0.9692904,0.96612185,0.9692904,0.9677036
7,5,3,Exploit,0.15985684,0.35239974,0.15985684,0.21994255
8,5,3,Infection,0.72271913,0.7779204,0.72271913,0.7493045
