,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,5,4,Attack,0.99648,0.99401486,0.99648,0.9952459
1,5,4,Normal,0.994,0.9964712,0.994,0.9952341
0,5,5,Attack,0.98296,0.99691683,0.98296,0.9898892
1,5,5,Normal,0.99696,0.98319525,0.99696,0.99002975
0,5,6,Attack,0.96552,0.99677896,0.96552,0.9809005
1,5,6,Normal,0.99688,0.9665684,0.99688,0.98149025
0,5,7,Attack,0.99728,0.99370265,0.99728,0.9954881
1,5,7,Normal,0.99368,0.99727017,0.99368,0.99547184
0,5,8,Attack,0.998,0.99561054,0.998,0.9968038
1,5,8,Normal,0.9956,0.9979952,0.9956,0.9967962
0,5,9,Attack,0.99936,0.9939529,0.99936,0.99664915
1,5,9,Normal,0.99392,0.9993565,0.99392,0.99663085
0,5,10,Attack,0.99752,0.98889685,0.99752,0.99318975
1,5,10,Normal,0.9888,0.99749815,0.9888,0.99313
0,6,1,Attack,0.99712,0.9930683,0.99712,0.99509
1,6,1,Normal,0.99304,0.9971082,0.99304,0.99507
0,6,2,Attack,0.99768,0.99196625,0.99768,0.994815
1,6,2,Normal,0.99192,0.99766654,0.99192,0.9947849
0,6,3,Attack,0.30232,0.9997355,0.30232,0.46425062
1,6,3,Normal,0.99992,0.5890198,0.99992,0.74134046
0,6,4,Attack,0.98288,0.9960276,0.98288,0.9894101
1,6,4,Normal,0.99608,0.98310304,0.99608,0.989549
0,6,5,Attack,0.9828,0.99764496,0.9828,0.9901669
1,6,5,Normal,0.99768,0.9830522,0.99768,0.9903121
0,6,6,Attack,0.9964,0.99536484,0.9964,0.9958822
1,6,6,Normal,0.99536,0.99639624,0.99536,0.9958779
0,6,7,Attack,0.99368,0.9981517,0.99368,0.9959108
1,6,7,Normal,0.99816,0.9937082,0.99816,0.99592906
0,6,8,Attack,0.9972,0.9945743,0.9972,0.99588543
1,6,8,Normal,0.99456,0.99719256,0.99456,0.9958745
0,6,9,Attack,0.99744,0.99720067,0.99744,0.99732035
1,6,9,Normal,0.9972,0.9974394,0.9972,0.99731964
0,6,10,Attack,0.99736,0.99465454,0.99736,0.9960054
1,6,10,Normal,0.99464,0.9973528,0.99464,0.99599457
0,7,1,Attack,0.96192,0.99734575,0.96192,0.97931266
1,7,1,Normal,0.99744,0.9632262,0.99744,0.98003453
0,7,2,Attack,0.98328,0.9972414,0.98328,0.9902115
1,7,2,Normal,0.99728,0.98351085,0.99728,0.99034756
0,7,3,Attack,0.98584,0.99757147,0.98584,0.991671
1,7,3,Normal,0.9976,0.9860046,0.9976,0.9917684
0,7,4,Attack,0.99464,0.9933685,0.99464,0.99400383
1,7,4,Normal,0.99336,0.99463314,0.99336,0.99399614
0,7,5,Attack,0.96256,0.9973475,0.96256,0.97964495
1,7,5,Normal,0.99744,0.9638219,0.99744,0.9803428
0,7,6,Attack,0.99608,0.9974365,0.99608,0.99675786
1,7,6,Normal,0.99744,0.99608535,0.99744,0.9967622
0,7,7,Attack,0.98504,0.9965199,0.98504,0.9907467
1,7,7,Normal,0.99656,0.98521036,0.99656,0.9908527
0,7,8,Attack,0.9944,0.99831337,0.9944,0.9963528
1,7,8,Normal,0.99832,0.99442184,0.99832,0.9963671
0,7,9,Attack,0.96696,0.9972772,0.96696,0.9818846
1,7,9,Normal,0.99736,0.9679348,0.99736,0.98242706
0,7,10,Attack,0.98288,0.995624,0.98288,0.989211
1,7,10,Normal,0.99568,0.98309636,0.99568,0.9893482
0,8,1,Attack,0.98048,0.9973147,0.98048,0.98882574
1,8,1,Normal,0.99736,0.980804,0.99736,0.9890127
0,8,2,Attack,0.98336,0.99514246,0.98336,0.9892161
1,8,2,Normal,0.9952,0.9835547,0.9952,0.98934305
