,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,5,4,Attack,0.99888,0.99704546,0.99888,0.99796194
1,5,4,Normal,0.99704,0.99887794,0.99704,0.9979581
0,5,5,Attack,0.99736,0.9993587,0.99736,0.99835837
1,5,5,Normal,0.99936,0.9973653,0.99936,0.99836165
0,5,6,Attack,0.99832,0.99895936,0.99832,0.9986395
1,5,6,Normal,0.99896,0.99832106,0.99896,0.9986404
0,5,7,Attack,0.99832,0.9999199,0.99832,0.9991193
1,5,7,Normal,0.99992,0.99832267,0.99992,0.9991207
0,5,8,Attack,0.99776,0.99776,0.99776,0.99776
1,5,8,Normal,0.99776,0.99776,0.99776,0.99776
0,5,9,Attack,0.99904,0.9976035,0.99904,0.99832124
1,5,9,Normal,0.9976,0.99903864,0.9976,0.99831885
0,5,10,Attack,0.99712,0.9994387,0.99712,0.998278
1,5,10,Normal,0.99944,0.99712664,0.99944,0.998282
0,6,1,Attack,0.99872,0.99696535,0.99872,0.9978419
1,6,1,Normal,0.99696,0.9987177,0.99696,0.9978381
0,6,2,Attack,0.99896,0.9992798,0.99896,0.99911994
1,6,2,Normal,0.99928,0.9989603,0.99928,0.9991202
0,6,3,Attack,0.99728,0.9998396,0.99728,0.9985581
1,6,3,Normal,0.99984,0.9972869,0.99984,0.9985618
0,6,4,Attack,0.99864,0.9991196,0.99864,0.99887973
1,6,4,Normal,0.99912,0.99864066,0.99912,0.99888027
0,6,5,Attack,0.99592,0.99903697,0.99592,0.99747604
1,6,5,Normal,0.99904,0.9959327,0.99904,0.99748397
0,6,6,Attack,0.99536,0.99975896,0.99536,0.99755466
1,6,6,Normal,0.99976,0.99538034,0.99976,0.9975654
0,6,7,Attack,0.99904,0.9987204,0.99904,0.9988802
1,6,7,Normal,0.99872,0.9990397,0.99872,0.99887985
0,6,8,Attack,0.99832,0.9992793,0.99832,0.9987994
1,6,8,Normal,0.99928,0.9983216,0.99928,0.9988006
0,6,9,Attack,0.99784,0.99927896,0.99784,0.99855894
1,6,9,Normal,0.99928,0.9978431,0.99928,0.998561
0,6,10,Attack,0.97912,0.9994284,0.97912,0.98916996
1,6,10,Normal,0.99944,0.9795358,0.99944,0.9893878
0,7,1,Attack,0.99824,0.99927926,0.99824,0.9987593
1,7,1,Normal,0.99928,0.99824184,0.99928,0.9987606
0,7,2,Attack,0.99888,0.9982411,0.99888,0.9985605
1,7,2,Normal,0.99824,0.99887925,0.99824,0.99855953
0,7,3,Attack,0.99824,0.9991992,0.99824,0.9987194
1,7,3,Normal,0.9992,0.99824166,0.9992,0.99872065
0,7,4,Attack,0.99872,0.99911964,0.99872,0.9989197
1,7,4,Normal,0.99912,0.9987205,0.99912,0.9989202
0,7,5,Attack,0.99816,0.9994393,0.99816,0.9987992
1,7,5,Normal,0.99944,0.9981623,0.99944,0.99880075
0,7,6,Attack,0.99712,0.9996792,0.99712,0.998398
1,7,6,Normal,0.99968,0.99712735,0.99968,0.998402
0,7,7,Attack,0.99792,0.9970426,0.99792,0.9974811
1,7,7,Normal,0.99704,0.9979182,0.99704,0.99747884
0,7,8,Attack,0.99832,0.99855965,0.99832,0.99843985
1,7,8,Normal,0.99856,0.9983204,0.99856,0.9984402
0,7,9,Attack,0.9976,0.9997595,0.9976,0.9986786
1,7,9,Normal,0.99976,0.99760514,0.99976,0.9986814
0,7,10,Attack,0.99864,0.99935955,0.99864,0.99899966
1,7,10,Normal,0.99936,0.99864095,0.99936,0.9990004
0,8,1,Attack,0.99848,0.996885,0.99848,0.99768186
1,8,1,Normal,0.99688,0.9984776,0.99688,0.9976782
0,8,2,Attack,0.9984,0.9974425,0.9984,0.997921
1,8,2,Normal,0.99744,0.9983985,0.99744,0.997919
0,8,3,Attack,0.9988,0.9992797,0.9988,0.9990398
1,8,3,Normal,0.99928,0.9988006,0.99928,0.99904025
0,8,4,Attack,0.99752,0.99823874,0.99752,0.99787927
1,8,4,Normal,0.99824,0.99752176,0.99824,0.99788076
0,8,5,Attack,0.99824,0.99927926,0.99824,0.9987593
1,8,5,Normal,0.99928,0.99824184,0.99928,0.9987606
0,8,6,Attack,0.9976,0.9996793,0.9976,0.9986386
1,8,6,Normal,0.99968,0.99760497,0.99968,0.99864143
0,8,7,Attack,0.99792,0.9973615,0.99792,0.99764067
1,8,7,Normal,0.99736,0.99791884,0.99736,0.99763936
0,8,8,Attack,0.99864,0.9996797,0.99864,0.9991596
1,8,8,Normal,0.99968,0.99864143,0.99968,0.9991604
0,8,9,Attack,0.99832,0.9972828,0.99832,0.9978011
1,8,9,Normal,0.99728,0.99831825,0.99728,0.99779886
0,8,10,Attack,0.99832,0.9995194,0.99832,0.9989193
1,8,10,Normal,0.99952,0.998322,0.99952,0.9989206
0,9,1,Attack,0.94816,0.99966264,0.94816,0.9732304
1,9,1,Normal,0.99968,0.9506999,0.99968,0.974575
0,9,2,Attack,0.998,0.999039,0.998,0.9985192
1,9,2,Normal,0.99904,0.99800205,0.99904,0.99852073
0,9,3,Attack,0.99768,0.9991988,0.99768,0.9984388
1,9,3,Normal,0.9992,0.9976835,0.9992,0.99844116
0,9,4,Attack,0.99944,0.9980826,0.99944,0.9987608
1,9,4,Normal,0.99808,0.99943924,0.99808,0.99875915
0,9,5,Attack,0.99912,0.998481,0.99912,0.99880034
1,9,5,Normal,0.99848,0.99911946,0.99848,0.9987996
0,9,6,Attack,0.99824,0.9987194,0.99824,0.9984796
1,9,6,Normal,0.99872,0.9982408,0.99872,0.9984803
0,9,7,Attack,0.94672,0.99763954,0.94672,0.97151303
1,9,7,Normal,0.99776,0.9493074,0.99776,0.9729308
0,9,8,Attack,0.99968,0.99840206,0.99968,0.99904066
1,9,8,Normal,0.9984,0.99967957,0.9984,0.9990394
0,9,9,Attack,0.99768,0.99839884,0.99768,0.9980393
1,9,9,Normal,0.9984,0.9976817,0.9984,0.99804074
0,9,10,Attack,0.99872,0.9995196,0.99872,0.99911964
1,9,10,Normal,0.99952,0.998721,0.99952,0.99912035
0,10,1,Attack,0.99864,0.9996797,0.99864,0.9991596
1,10,1,Normal,0.99968,0.99864143,0.99968,0.9991604
0,10,2,Attack,0.99808,0.9991191,0.99808,0.9985993
1,10,2,Normal,0.99912,0.998082,0.99912,0.9986007
0,10,3,Attack,0.99856,0.9998398,0.99856,0.9991995
1,10,3,Normal,0.99984,0.99856186,0.99984,0.9992005
