,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
1,5,4,Normal,0.9556,0.9300786,0.9556,0.9426666
0,5,5,Attack,0.94104,0.92389256,0.94104,0.9323874
1,5,5,Normal,0.92248,0.939925,0.92248,0.9311208
0,5,6,Attack,0.9376,0.9547861,0.9376,0.94611496
1,5,6,Normal,0.9556,0.93870336,0.9556,0.9470763
0,5,7,Attack,0.93888,0.95059127,0.93888,0.94469935
1,5,7,Normal,0.9512,0.93962383,0.9512,0.9453765
0,5,8,Attack,0.93152,0.9552876,0.93152,0.94325405
1,5,8,Normal,0.9564,0.9331824,0.9564,0.94464856
0,5,9,Attack,0.92632,0.9529257,0.92632,0.9394345
1,5,9,Normal,0.95424,0.92832124,0.95424,0.94110227
0,5,10,Attack,0.93872,0.9447665,0.93872,0.94173354
1,5,10,Normal,0.94512,0.9391097,0.94512,0.94210523
0,6,1,Attack,0.92424,0.95290333,0.92424,0.9383528
1,6,1,Normal,0.95432,0.92645234,0.95432,0.94017977
0,6,2,Attack,0.93664,0.9455661,0.93664,0.9410818
1,6,2,Normal,0.94608,0.93723255,0.94608,0.9416355
0,6,3,Attack,0.91728,0.9465863,0.91728,0.93170273
1,6,3,Normal,0.94824,0.9197641,0.94824,0.933785
0,6,4,Attack,0.91136,0.9513152,0.91136,0.93090916
1,6,4,Normal,0.95336,0.91493285,0.95336,0.9337513
0,6,5,Attack,0.91568,0.95066446,0.91568,0.93284434
1,6,5,Normal,0.95248,0.91867286,0.95248,0.935271
0,6,6,Attack,0.93632,0.95030856,0.93632,0.9432624
1,6,6,Normal,0.95104,0.93724376,0.95104,0.94409156
0,6,7,Attack,0.91176,0.95885915,0.91176,0.93471664
1,6,7,Normal,0.96088,0.9158914,0.96088,0.9378465
0,6,8,Attack,0.91368,0.9655085,0.91368,0.93887955
1,6,8,Normal,0.96736,0.9180776,0.96736,0.9420747
0,6,9,Attack,0.93504,0.957405,0.93504,0.94609034
1,6,9,Normal,0.9584,0.93652284,0.9584,0.9473352
0,6,10,Attack,0.92904,0.9493174,0.92904,0.9390693
1,6,10,Normal,0.9504,0.930524,0.9504,0.94035697
0,7,1,Attack,0.9292,0.9552595,0.9292,0.94204956
1,7,1,Normal,0.95648,0.93108016,0.95648,0.9436092
0,7,2,Attack,0.92576,0.95447046,0.92576,0.93989605
1,7,2,Normal,0.95584,0.9279279,0.95584,0.9416772
0,7,3,Attack,0.91464,0.96011084,0.91464,0.93682396
1,7,3,Normal,0.962,0.9184998,0.962,0.9397468
0,7,4,Attack,0.916,0.97272956,0.916,0.94351286
1,7,4,Normal,0.97432,0.9206289,0.97432,0.94671375
0,7,5,Attack,0.91568,0.9416701,0.91568,0.92849326
1,7,5,Normal,0.94328,0.9179447,0.94328,0.93043995
0,7,6,Attack,0.92152,0.9526133,0.92152,0.9368087
1,7,6,Normal,0.95416,0.9240006,0.95416,0.9388382
0,7,7,Attack,0.93008,0.9550645,0.93008,0.94240665
1,7,7,Normal,0.95624,0.9318625,0.95624,0.94389385
0,7,8,Attack,0.93064,0.95289975,0.93064,0.94163835
1,7,8,Normal,0.954,0.93222326,0.954,0.9429859
0,7,9,Attack,0.91824,0.9490656,0.91824,0.93339837
1,7,9,Normal,0.95072,0.920812,0.95072,0.9355271
0,7,10,Attack,0.918,0.9575267,0.918,0.9373468
1,7,10,Normal,0.95928,0.92125076,0.95928,0.93988085
0,8,1,Attack,0.93896,0.94326127,0.93896,0.9411057
1,8,1,Normal,0.94352,0.93923706,0.94352,0.9413737
0,8,2,Attack,0.93856,0.9561532,0.93856,0.947275
1,8,2,Normal,0.95696,0.9396701,0.95696,0.9482363
0,8,3,Attack,0.93344,0.9525676,0.93344,0.9429068
1,8,3,Normal,0.95352,0.9347502,0.95352,0.94404185
0,8,4,Attack,0.91576,0.9479917,0.91576,0.9315972
1,8,4,Normal,0.94976,0.91853,0.94976,0.933884
0,8,5,Attack,0.9416,0.9522654,0.9416,0.9469027
1,8,5,Normal,0.9528,0.94224685,0.9528,0.94749403
0,8,6,Attack,0.94152,0.9504159,0.94152,0.9459471
1,8,6,Normal,0.95088,0.9420623,0.95088,0.9464506
0,8,7,Attack,0.93768,0.955802,0.93768,0.9466543
1,8,7,Normal,0.95664,0.9388396,0.95664,0.9476562
0,8,8,Attack,0.88272,0.95104295,0.88272,0.91560864
1,8,8,Normal,0.95456,0.89058065,0.95456,0.9214611
0,8,9,Attack,0.91856,0.96180266,0.91856,0.9396841
1,8,9,Normal,0.96352,0.922064,0.96352,0.94233626
0,8,10,Attack,0.93696,0.9542121,0.93696,0.94550735
1,8,10,Normal,0.95504,0.93807954,0.95504,0.9464838
0,9,1,Attack,0.93584,0.9476669,0.93584,0.9417163
1,9,1,Normal,0.94832,0.93663085,0.94832,0.94243914
0,9,2,Attack,0.93912,0.9519909,0.93912,0.94551164
1,9,2,Normal,0.95264,0.9399321,0.95264,0.94624335
0,9,3,Attack,0.92608,0.9526004,0.92608,0.939153
1,9,3,Normal,0.95392,0.92808217,0.95392,0.94082373
0,9,4,Attack,0.93416,0.9489638,0.93416,0.9415037
1,9,4,Normal,0.94976,0.9351713,0.94976,0.9424092
0,9,5,Attack,0.94072,0.9515294,0.94072,0.94609386
1,9,5,Normal,0.95208,0.94138587,0.95208,0.9467028
0,9,6,Attack,0.93344,0.9518682,0.93344,0.942564
1,9,6,Normal,0.9528,0.9347041,0.9528,0.9436653
0,9,7,Attack,0.93208,0.9705123,0.93208,0.950908
1,9,7,Normal,0.97168,0.93466717,0.97168,0.9528143
0,9,8,Attack,0.93312,0.9593683,0.93312,0.94606215
1,9,8,Normal,0.96048,0.9349011,0.96048,0.94751793
0,9,9,Attack,0.92528,0.95879966,0.92528,0.9417416
1,9,9,Normal,0.96024,0.927804,0.96024,0.94374335
0,9,10,Attack,0.93992,0.9455175,0.93992,0.94271046
1,9,10,Normal,0.94584,0.9402736,0.94584,0.9430486
0,10,1,Attack,0.92128,0.95047873,0.92128,0.93565166
1,10,1,Normal,0.952,0.9236262,0.952,0.93759847
0,10,2,Attack,0.92984,0.95340824,0.92984,0.94147664
1,10,2,Normal,0.95456,0.9315325,0.95456,0.9429057
0,10,3,Attack,0.91944,0.96466345,0.91944,0.94150895
1,10,3,Normal,0.96632,0.92304754,0.96632,0.94418824
0,10,4,Attack,0.9212,0.9417682,0.9212,0.93137056
1,10,4,Normal,0.94304,0.9228842,0.94304,0.9328532
0,10,5,Attack,0.936,0.95253605,0.936,0.9441956
1,10,5,Normal,0.95336,0.93709207,0.95336,0.94515604
0,10,6,Attack,0.93208,0.9541397,0.93208,0.9429808
1,10,6,Normal,0.9552,0.93361485,0.9552,0.944284
0,10,7,Attack,0.91376,0.9456081,0.91376,0.9294113
1,10,7,Normal,0.94744,0.91656995,0.94744,0.93174934
0,10,8,Attack,0.93144,0.94573957,0.93144,0.9385353
1,10,8,Normal,0.94656,0.9324612,0.94656,0.9394578
0,10,9,Attack,0.93104,0.9572298,0.93104,0.9439533
1,10,9,Normal,0.9584,0.9328765,0.9584,0.94546604
0,10,10,Attack,0.93832,0.95241576,0.93832,0.9453153
1,10,10,Normal,0.95312,0.93921953,0.95312,0.9461188
