,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
1,6,6,Normal,0.7882619,0.83646375,0.7882619,0.81164783
0,6,7,Attack,0.99912167,0.98159045,0.99912167,0.9902784
1,6,7,Normal,0.9812617,0.9991057,0.9812617,0.99010324
0,7,1,Attack,0.9528613,0.80400217,0.9528613,0.8721253
1,7,1,Normal,0.7677136,0.94215065,0.7677136,0.8460343
0,7,2,Attack,0.90274155,0.74421257,0.90274155,0.8158474
1,7,2,Normal,0.6897258,0.87641627,0.6897258,0.7719439
0,7,3,Attack,0.90322065,0.98202866,0.90322065,0.94097745
1,7,3,Normal,0.98347086,0.9104102,0.98347086,0.94553125
0,7,4,Attack,0.8475113,0.88376033,0.8475113,0.8652563
1,7,4,Normal,0.8885281,0.8535195,0.8885281,0.87067205
0,7,5,Attack,0.9149055,0.9766444,0.9149055,0.9447674
1,7,5,Normal,0.97812086,0.91996497,0.97812086,0.948152
0,7,6,Attack,0.83489484,0.83799523,0.83489484,0.8364422
1,7,6,Normal,0.8385946,0.83550346,0.8385946,0.83704627
0,7,7,Attack,0.99757785,0.9822313,0.99757785,0.9898451
1,7,7,Normal,0.9819537,0.9975394,0.9819537,0.9896852
0,8,1,Attack,0.97436786,0.6376304,0.97436786,0.77082783
1,8,1,Normal,0.4462603,0.9456822,0.4462603,0.60637623
0,8,2,Attack,0.90447164,0.93264717,0.90447164,0.9183433
1,8,2,Normal,0.93468195,0.90727293,0.93468195,0.92077345
0,8,3,Attack,0.90082514,0.9669438,0.90082514,0.9327141
1,8,3,Normal,0.9692041,0.90717256,0.9692041,0.937163
0,8,4,Attack,0.845169,0.8325817,0.845169,0.8388281
1,8,4,Normal,0.8300506,0.8427923,0.8300506,0.8363729
0,8,5,Attack,0.91418684,0.9762933,0.91418684,0.94421995
1,8,5,Normal,0.97780144,0.91931933,0.97780144,0.947659
0,8,6,Attack,0.8422944,0.79027545,0.8422944,0.8154562
1,8,6,Normal,0.7764706,0.8311822,0.7764706,0.8028954
0,8,7,Attack,0.9989619,0.9807411,0.9989619,0.9897677
1,8,7,Normal,0.9803833,0.9989423,0.9803833,0.9895758
0,9,1,Attack,0.96582377,0.7206753,0.96582377,0.8254322
1,9,1,Normal,0.62565875,0.94820493,0.62565875,0.7538807
0,9,2,Attack,0.9263242,0.7682052,0.9263242,0.83988756
1,9,2,Normal,0.7204951,0.9072293,0.7204951,0.8031511
0,9,3,Attack,0.84527546,0.98179066,0.84527546,0.90843296
1,9,3,Normal,0.9843226,0.8641632,0.9843226,0.92033744
0,9,4,Attack,0.8631089,0.8467685,0.8631089,0.8548606
1,9,4,Normal,0.8438116,0.8604153,0.8438116,0.85203254
0,9,5,Attack,0.9200958,0.9348514,0.9200958,0.9274149
1,9,5,Normal,0.9358797,0.9213374,0.9358797,0.9285517
0,9,6,Attack,0.8385414,0.7887832,0.8385414,0.8129016
1,9,6,Normal,0.7754592,0.82767045,0.7754592,0.8007146
0,9,7,Attack,0.9993346,0.9809019,0.9993346,0.9900324
1,9,7,Normal,0.98054296,0.9993218,0.98054296,0.98984325
0,10,1,Attack,0.9612723,0.6795687,0.9612723,0.7962387
1,10,1,Normal,0.5467394,0.9338516,0.5467394,0.6896887
0,10,2,Attack,0.9007985,0.8213922,0.9007985,0.85926473
1,10,2,Normal,0.8041256,0.8901821,0.8041256,0.8449684
0,10,3,Attack,0.8839766,0.9817607,0.8839766,0.9303062
1,10,3,Normal,0.9835773,0.8944859,0.9835773,0.93691844
0,10,4,Attack,0.8603141,0.834784,0.8603141,0.8473568
1,10,4,Normal,0.82973117,0.8559073,0.82973117,0.842616
0,10,5,Attack,0.9191376,0.9665519,0.9191376,0.94224864
1,10,5,Normal,0.9681927,0.92291886,0.9681927,0.94501376
0,10,6,Attack,0.84117645,0.7898183,0.84117645,0.81468874
1,10,6,Normal,0.7761512,0.8301307,0.7761512,0.80223393
0,10,7,Attack,0.99805695,0.98396665,0.99805695,0.99096173
1,10,7,Normal,0.98373705,0.99802876,0.98373705,0.99083143
